candidate,fold,start,end,initial_equity,final_equity,return_pct
baseline,1,2025-04-10T12:00:00+00:00,2025-07-10T12:00:00+00:00,20.0,21.128154431253957,5.640772156269791
baseline,2,2025-07-10T12:00:00+00:00,2025-10-10T12:00:00+00:00,21.128154431253957,21.943546812518765,3.8592693172416093
baseline,3,2025-10-10T12:00:00+00:00,2026-01-10T12:00:00+00:00,21.943546812518765,21.164436498556583,-3.5505213474318564
baseline,4,2026-01-10T12:00:00+00:00,2026-04-10T12:00:00+00:00,21.164436498556583,19.910295709779085,-5.925698937758305
baseline,5,2026-04-10T12:00:00+00:00,2026-07-10T12:00:00+00:00,19.910295709779085,19.910295709779085,0.0
adaptive,1,2025-04-10T12:00:00+00:00,2025-07-10T12:00:00+00:00,20.0,20.122564469103352,0.6128223455167614
adaptive,2,2025-07-10T12:00:00+00:00,2025-10-10T12:00:00+00:00,20.122564469103352,20.513384216006155,1.9421965202441216
adaptive,3,2025-10-10T12:00:00+00:00,2026-01-10T12:00:00+00:00,20.513384216006155,20.279967807588655,-1.1378737216620305
adaptive,4,2026-01-10T12:00:00+00:00,2026-04-10T12:00:00+00:00,20.279967807588655,20.400974955528657,0.5966831362262948
adaptive,5,2026-04-10T12:00:00+00:00,2026-07-10T12:00:00+00:00,20.400974955528657,21.331373131817166,4.560557416087474
adaptive_selective,1,2025-04-10T12:00:00+00:00,2025-07-10T12:00:00+00:00,20.0,20.0,0.0
adaptive_selective,2,2025-07-10T12:00:00+00:00,2025-10-10T12:00:00+00:00,20.0,20.0614720158548,0.30736007927401054
adaptive_selective,3,2025-10-10T12:00:00+00:00,2026-01-10T12:00:00+00:00,20.0614720158548,20.0614720158548,0.0
adaptive_selective,4,2026-01-10T12:00:00+00:00,2026-04-10T12:00:00+00:00,20.0614720158548,20.0614720158548,0.0
adaptive_selective,5,2026-04-10T12:00:00+00:00,2026-07-10T12:00:00+00:00,20.0614720158548,20.354431527443303,1.4603091505796417
