symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,net_pnl,return_pct,entry_reason,exit_reason
XRPUSDT,2025-03-15 08:00:00+00:00,2025-03-16 11:59:59.999000+00:00,2.3940964499999997,2.3330329,149.0,-9.098468949999946,0.70434227315,-9.802811223149947,-2.748037964385255,quality_cross:trend+volume+volatility,stop_loss
XRPUSDT,2025-06-17 04:00:00+00:00,2025-06-17 11:59:59.999000+00:00,2.2503246,2.1929030000000003,156.9,-9.009449039999941,0.6971424104400001,-9.70659145043994,-2.7491512824416366,quality_cross:trend+volume+volatility,stop_loss
BNBUSDT,2025-08-08 04:00:00+00:00,2025-08-11 03:59:59.999000+00:00,786.87324,825.7968950000001,0.444,17.282102820000024,0.71602553994,16.56607728006002,4.74167667272559,quality_cross:trend+volume+volatility,take_profit
LINKUSDT,2025-09-18 16:00:00+00:00,2025-09-19 11:59:59.999000+00:00,24.482234999999996,23.858065000000003,14.54,-9.075431799999889,0.702867962,-9.778299761999888,-2.7469318058583805,quality_cross:trend+volume+volatility,stop_loss
AVAXUSDT,2026-02-26 08:00:00+00:00,2026-02-26 19:59:59.999000+00:00,9.32466,9.085455,37.59,-8.991715950000005,0.69203622285,-9.683752172850005,-2.7627293113100113,quality_cross:trend+volume+volatility,stop_loss
AVAXUSDT,2026-03-01 04:00:00+00:00,2026-03-01 15:59:59.999000+00:00,9.264629999999999,9.025485,37.25,-8.908151249999957,0.68130678375,-9.589458033749956,-2.778687492107066,quality_cross:trend+volume+volatility,stop_loss
ETHUSDT,2026-03-01 16:00:00+00:00,2026-03-01 23:59:59.999000+00:00,1994.37669,1943.537745,0.1733,-8.810389168499995,0.6824405715855,-9.492829740085496,-2.7465653659941225,quality_cross:trend+volume+volatility,stop_loss
AVAXUSDT,2026-03-10 04:00:00+00:00,2026-03-10 15:59:59.999000+00:00,9.334665,9.795100000000001,36.49,16.80127315000008,0.6980451248500001,16.103228025150077,4.727595848378085,quality_cross:trend+volume+volatility,take_profit
BTCUSDT,2026-05-14 16:00:00+00:00,2026-05-15 15:59:59.999000+00:00,81341.87061,79268.66584000002,0.00427,-8.852584367899924,0.6858069906415001,-9.538391358541425,-2.7462059695678573,quality_cross:trend+volume+volatility,stop_loss
BNBUSDT,2026-05-22 16:00:00+00:00,2026-05-23 00:00:00+00:00,658.839255,650.1247750000001,0.522,-4.548958559999931,0.68327922366,-5.232237783659931,-1.521379297595112,quality_cross:trend+volume+volatility,strategy_exit_next_open
