symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,net_pnl,return_pct,entry_reason,exit_reason
BNBUSDT,2025-02-19 12:00:00+00:00,2025-02-20 08:00:00+00:00,659.64966,648.625525,0.008,-0.08819308000000001,0.010466201480000001,-0.09865928148000001,-1.8695393832235132,adaptive:trend+pullback_or_cross+quality,strategy_exit_next_open
BNBUSDT,2025-04-25 08:00:00+00:00,2025-04-30 15:59:59.999000+00:00,606.7232099999999,596.5115949999999,0.016,-0.163385839999999,0.01925175688,-0.182637596879999,-1.8813932971181275,adaptive:trend+pullback_or_cross+quality,stop_loss
ADAUSDT,2025-05-01 12:00:00+00:00,2025-05-04 15:59:59.999000+00:00,0.7071533999999999,0.68255855,7.4,-0.1820018899999996,0.010283868429999999,-0.19228575842999962,-3.6745297342839542,adaptive:trend+pullback_or_cross+quality,stop_loss
BTCUSDT,2025-05-15 16:00:00+00:00,2025-05-18 15:59:59.999000+00:00,103302.98568,105449.938655,9e-05,0.1932257677500007,0.01878776319015,0.1744380045598507,1.8762284922421688,adaptive:trend+pullback_or_cross+quality,take_profit
XRPUSDT,2025-05-18 16:00:00+00:00,2025-05-18 23:59:59.999000+00:00,2.4391189499999997,2.3586201,2.2,-0.1770974699999993,0.010555025910000002,-0.18765249590999933,-3.4970245731557985,adaptive:trend+pullback_or_cross+quality,stop_loss
XRPUSDT,2025-05-22 16:00:00+00:00,2025-05-23 11:59:59.999000+00:00,2.43411645,2.3597195500000003,2.4,-0.1785525599999989,0.0115052064,-0.19005776639999888,-3.2533667811989666,adaptive:trend+pullback_or_cross+quality,stop_loss
BTCUSDT,2025-05-24 12:00:00+00:00,2025-05-25 11:59:59.999000+00:00,109263.174285,106786.949815,7e-05,-0.17333571290000005,0.015123508687,-0.18845922158700004,-2.4640274380803935,adaptive:trend+pullback_or_cross+quality,stop_loss
BTCUSDT,2025-05-26 00:00:00+00:00,2025-05-28 23:59:59.999000+00:00,109058.7021,106881.30261500001,7e-05,-0.1524179639499991,0.01511580033005,-0.1675337642800491,-2.194542428645854,adaptive:trend+pullback_or_cross+quality,stop_loss
SOLUSDT,2025-07-02 16:00:00+00:00,2025-07-04 15:59:59.999000+00:00,151.38565499999999,146.72660000000002,0.037,-0.17238503499999877,0.011030153435,-0.1834151884349988,-3.2745290529673823,adaptive:trend+pullback_or_cross+quality,stop_loss
BNBUSDT,2025-07-16 00:00:00+00:00,2025-07-16 15:59:59.999000+00:00,690.274965,703.7779350000001,0.013,0.17553861000000154,0.0181226877,0.15741592230000154,1.7542164664772566,adaptive:trend+pullback_or_cross+quality,take_profit
BNBUSDT,2025-09-07 04:00:00+00:00,2025-09-07 23:59:59.999000+00:00,866.55306,878.0207700000001,0.01,0.11467710000000125,0.017445738300000003,0.09723136170000125,1.1220474104609504,adaptive:trend+pullback_or_cross+quality,take_profit
XRPUSDT,2025-09-08 12:00:00+00:00,2025-09-09 07:59:59.999000+00:00,2.93776815,3.0051966500000002,2.8,0.1887998000000003,0.01664030144,0.17215949856000032,2.092933548891532,adaptive:trend+pullback_or_cross+quality,take_profit
LINKUSDT,2025-09-10 16:00:00+00:00,2025-09-11 23:59:59.999000+00:00,23.681835,24.474756499999998,0.25,0.19823037499999963,0.012039147875,0.18619122712499964,3.1448783783013377,adaptive:trend+pullback_or_cross+quality,take_profit
SOLUSDT,2025-09-16 16:00:00+00:00,2025-09-17 23:59:59.999000+00:00,237.90889499999997,245.97695000000002,0.025,0.2017013750000011,0.012097146125,0.1896042288750011,3.1878459840688365,adaptive:trend+pullback_or_cross+quality,take_profit
ETHUSDT,2025-09-18 00:00:00+00:00,2025-09-19 15:59:59.999000+00:00,4592.83527,4486.59558,0.0016,-0.1699835039999991,0.01452708936,-0.1845105933599991,-2.5108481813674857,adaptive:trend+pullback_or_cross+quality,stop_loss
XRPUSDT,2025-10-01 20:00:00+00:00,2025-10-02 19:59:59.999000+00:00,2.9563774499999997,3.0380802000000005,2.4,0.1960866000000017,0.014386698359999998,0.18169990164000172,2.560846631745237,adaptive:trend+pullback_or_cross+quality,take_profit
ADAUSDT,2025-10-06 12:00:00+00:00,2025-10-06 15:59:59.999000+00:00,0.8513254499999999,0.8801597000000001,7.2,0.20760660000000125,0.01246669308,0.19513990692000124,3.183596220458366,adaptive:trend+pullback_or_cross+quality,take_profit
BTCUSDT,2025-10-08 12:00:00+00:00,2025-10-09 15:59:59.999000+00:00,122945.58206999999,120915.08221500002,8e-05,-0.16243998839999782,0.0195088531428,-0.1819488415427978,-1.8498920262055845,adaptive:trend+pullback_or_cross+quality,stop_loss
