symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,net_pnl,return_pct,entry_reason,exit_reason
XRPUSDT,2025-01-11 08:00:00+00:00,2025-01-11 19:59:59.999000+00:00,2.34507195,2.46106885,3.0,0.3479907000000009,0.014418422400000002,0.33357227760000085,4.741464721370288,ema_bullish_cross+trend+confirmations_3,take_profit
ADAUSDT,2025-01-15 08:00:00+00:00,2025-01-15 11:59:59.999000+00:00,1.0508251499999999,1.02398775,6.8,-0.18249431999999857,0.01410872772,-0.19660304771999856,-2.7513818926012377,ema_bullish_cross+trend+confirmations_3,stop_loss
BTCUSDT,2025-01-15 12:00:00+00:00,2025-01-17 03:59:59.999000+00:00,96810.57109499999,101600.264455,7e-05,0.3352785352000003,0.013888758488499998,0.32138977671150026,4.742542547285036,ema_bullish_cross+trend+confirmations_3,take_profit
ETHUSDT,2025-01-17 12:00:00+00:00,2025-01-18 07:59:59.999000+00:00,3424.961625,3337.660335,0.0021,-0.18333270899999973,0.014201506116,-0.19753421511599975,-2.7464223620315713,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-01-19 20:00:00+00:00,2025-01-19 23:59:59.999000+00:00,3420.6394649999997,3333.45244,0.0021,-0.1830927524999994,0.0141835930005,-0.19727634550049938,-2.746302785376994,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-01-20 12:00:00+00:00,2025-01-20 15:59:59.999000+00:00,3377.1077099999998,3291.03366,0.0021,-0.1807555049999994,0.014003096877,-0.1947586018769994,-2.746201760026177,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-01-24 20:00:00+00:00,2025-01-25 03:59:59.999000+00:00,3370.38435,3284.47694,0.0021,-0.18040556099999958,0.013975208709,-0.1943807697089996,-2.746341712926593,ema_bullish_cross+trend+confirmations_3,stop_loss
XRPUSDT,2025-01-28 16:00:00+00:00,2025-01-28 23:59:59.999000+00:00,3.1873929,3.1061461500000003,2.2,-0.17874284999999912,0.013845785910000002,-0.1925886359099991,-2.7464542902759055,ema_bullish_cross+trend+confirmations_4,stop_loss
LINKUSDT,2025-01-31 12:00:00+00:00,2025-01-31 19:59:59.999000+00:00,25.682835,25.02748,0.27,-0.17694585000000004,0.01369178505,-0.19063763505000006,-2.7491720248173546,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-01-31 20:00:00+00:00,2025-02-01 11:59:59.999000+00:00,3340.739535,3255.59139,0.002,-0.17029629000000024,0.01319266185,-0.18348895185000025,-2.7462325321629755,ema_bullish_cross+trend+confirmations_4,stop_loss
BNBUSDT,2025-02-11 12:00:00+00:00,2025-02-11 19:59:59.999000+00:00,643.7216999999999,627.30619,0.01,-0.16415509999999928,0.012710278899999998,-0.17686537889999926,-2.7475441467951023,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-02-20 16:00:00+00:00,2025-02-21 19:59:59.999000+00:00,2713.9563,2644.77695,0.0024,-0.16603043999999972,0.012860959799999998,-0.1788913997999997,-2.7464732298747734,ema_bullish_cross+trend+confirmations_4,stop_loss
BNBUSDT,2025-02-22 08:00:00+00:00,2025-02-24 07:59:59.999000+00:00,655.06737,638.370655,0.01,-0.16696714999999926,0.01293438025,-0.17990153024999928,-2.746305776915728,ema_bullish_cross+trend+confirmations_3,stop_loss
LINKUSDT,2025-03-06 12:00:00+00:00,2025-03-06 15:59:59.999000+00:00,17.50875,17.0624645,0.37,-0.16512563499999938,0.012791349365000001,-0.1779169843649994,-2.7463794645534283,ema_bullish_cross+trend+confirmations_3,stop_loss
