symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,net_pnl,return_pct,entry_reason,exit_reason
AVAXUSDT,2026-02-26 08:00:00+00:00,2026-02-26 19:59:59.999000+00:00,9.32466,9.085455,380.75,-91.07730375000004,7.00965128625,-98.08695503625003,-2.7627293113100113,quality_cross:trend+volume+volatility,stop_loss
BTCUSDT,2026-05-14 16:00:00+00:00,2026-05-15 15:59:59.999000+00:00,81341.87061,79268.66584000002,0.04347,-90.12221135189922,6.981740019481501,-97.10395137138073,-2.746205969567857,quality_cross:trend+volume+volatility,stop_loss
BNBUSDT,2026-05-22 16:00:00+00:00,2026-05-23 00:00:00+00:00,658.839255,650.1247750000001,5.312,-46.291317759999295,6.953216927360001,-53.24453468735929,-1.5213792975951115,quality_cross:trend+volume+volatility,strategy_exit_next_open
