symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,net_pnl,return_pct,entry_reason,exit_reason
BNBUSDT,2025-01-19 16:00:00+00:00,2025-01-19 23:59:59.999000+00:00,698.22894,681.429115,0.01,-0.16799824999999943,0.013796580550000001,-0.18179483054999945,-2.603656481926966,reversion:range+confirmed_rebound,stop_loss
BTCUSDT,2025-01-20 04:00:00+00:00,2025-01-20 07:59:59.999000+00:00,101942.88597,105457.92466,6e-05,0.2109023214000001,0.0124440486378,0.1984582727622001,3.2445990202233252,reversion:trend+confirmed_rebound,take_profit
BTCUSDT,2025-02-02 16:00:00+00:00,2025-02-02 19:59:59.999000+00:00,99396.54343499999,97310.710305,8e-05,-0.16686665039999876,0.0157365802992,-0.18260323069919876,-2.2963981491294447,reversion:range+confirmed_rebound,stop_loss
BNBUSDT,2025-02-18 12:00:00+00:00,2025-02-18 19:59:59.999000+00:00,655.78773,634.932375,0.008,-0.16684284000000024,0.01032576084,-0.17716860084000025,-3.3770188266560015,reversion:trend+confirmed_rebound,stop_loss
BTCUSDT,2025-02-19 00:00:00+00:00,2025-02-20 15:59:59.999000+00:00,95719.57587,97587.40189000001,0.0001,0.18678260200000077,0.019330697776,0.16745190422400077,1.7494008169386677,reversion:range+confirmed_rebound,take_profit
SOLUSDT,2025-04-22 04:00:00+00:00,2025-04-22 15:59:59.999000+00:00,139.41967499999998,145.057435,0.038,0.21423488000000054,0.010810130179999999,0.20342474982000056,3.839689692290572,reversion:trend+confirmed_rebound,take_profit
XRPUSDT,2025-04-24 12:00:00+00:00,2025-04-26 07:59:59.999000+00:00,2.1566778,2.2378805,2.6,0.21112701999999992,0.01142585158,0.1997011684199999,3.561410132751399,reversion:trend+confirmed_rebound,take_profit
XRPUSDT,2025-04-28 04:00:00+00:00,2025-04-28 07:59:59.999000+00:00,2.26002945,2.3360314000000004,2.8,0.21280546000000056,0.01286897038,0.19993648962000057,3.1595114457468774,reversion:trend+confirmed_rebound,take_profit
SOLUSDT,2025-04-30 20:00:00+00:00,2025-05-01 11:59:59.999000+00:00,145.69281,151.78407,0.036,0.21928536000000018,0.01070916768,0.2085761923200002,3.9767117677255355,reversion:range+confirmed_rebound,take_profit
BTCUSDT,2025-05-05 08:00:00+00:00,2025-05-06 15:59:59.999000+00:00,94809.290955,93506.313455,0.0001,-0.13029775000000082,0.018831560441,-0.1491293104410008,-1.5729398346812136,reversion:trend+confirmed_rebound,stop_loss
SOLUSDT,2025-05-06 16:00:00+00:00,2025-05-07 03:59:59.999000+00:00,143.25159,147.776075,0.047,0.21265079499999992,0.013678300255000001,0.19897249474499992,2.955260276692216,reversion:range+confirmed_rebound,take_profit
BTCUSDT,2025-05-13 08:00:00+00:00,2025-05-18 15:59:59.999000+00:00,102716.83275,105128.96922,8e-05,0.19297091759999982,0.016627664157600003,0.17634325344239982,2.1459877694973004,reversion:trend+confirmed_rebound,take_profit
ETHUSDT,2025-07-15 08:00:00+00:00,2025-07-15 19:59:59.999000+00:00,2978.98875,3077.750355,0.0022,0.21727553100000033,0.013324826031,0.20395070496900033,3.111957569326173,reversion:trend+confirmed_rebound,take_profit
ETHUSDT,2025-07-22 12:00:00+00:00,2025-07-23 15:59:59.999000+00:00,3707.15265,3581.1185450000003,0.0015,-0.1890511574999996,0.0109324067925,-0.1999835642924996,-3.5963551755819863,reversion:trend+confirmed_rebound,stop_loss
BTCUSDT,2025-07-25 12:00:00+00:00,2025-07-25 16:00:00+00:00,116601.86179499999,115669.20646500001,8e-05,-0.07461242639999838,0.018581685460800003,-0.09319411186079837,-0.9990632913804235,reversion:range+confirmed_rebound,strategy_exit_next_open
SOLUSDT,2025-07-30 16:00:00+00:00,2025-07-30 19:59:59.999000+00:00,179.259585,173.01345,0.031,-0.1936301849999994,0.010920464085000001,-0.2045506490849994,-3.6809234133839936,reversion:range+confirmed_rebound,stop_loss
ETHUSDT,2025-08-01 04:00:00+00:00,2025-08-01 11:59:59.999000+00:00,3706.83249,3590.333935,0.0016,-0.18639768799999948,0.011675466280000001,-0.19807315427999947,-3.3396632234924564,reversion:range+confirmed_rebound,stop_loss
SOLUSDT,2025-08-12 16:00:00+00:00,2025-08-12 19:59:59.999000+00:00,181.79084999999998,189.04543,0.03,0.21763740000000098,0.0111250884,0.20651231160000097,3.7866282708948407,reversion:trend+confirmed_rebound,take_profit
ETHUSDT,2025-08-18 16:00:00+00:00,2025-08-19 07:59:59.999000+00:00,4347.69276,4196.80055,0.0012,-0.18107065199999994,0.010253391971999998,-0.19132404397199995,-3.667156630221497,reversion:trend+confirmed_rebound,stop_loss
BNBUSDT,2025-08-26 04:00:00+00:00,2025-08-28 15:59:59.999000+00:00,845.00229,874.1627000000001,0.007,0.20412287000000048,0.012034154930000002,0.19208871507000047,3.2474758157164363,reversion:range+confirmed_rebound,take_profit
XRPUSDT,2025-09-15 16:00:00+00:00,2025-09-18 11:59:59.999000+00:00,3.02901375,3.11054395,2.6,0.21197852,0.015962850020000002,0.19601566998,2.4889501508535576,reversion:trend+confirmed_rebound,take_profit
BNBUSDT,2025-09-25 16:00:00+00:00,2025-09-25 19:59:59.999000+00:00,995.7876449999999,965.6369400000001,0.006,-0.18090422999999875,0.011768547510000001,-0.19267277750999875,-3.2247969480480747,reversion:trend+confirmed_rebound,stop_loss
XRPUSDT,2025-10-05 08:00:00+00:00,2025-10-05 15:59:59.999000+00:00,3.06483165,2.99300275,2.5,-0.17957224999999966,0.015144586000000002,-0.19471683599999964,-2.5413054710525405,reversion:trend+confirmed_rebound,stop_loss
BTCUSDT,2026-01-07 00:00:00+00:00,2026-01-07 11:59:59.999000+00:00,93794.843985,92185.854015,0.0001,-0.16089899699999952,0.018598069800000002,-0.17949706679999952,-1.9137199783466274,reversion:trend+confirmed_rebound,stop_loss
BTCUSDT,2026-01-08 16:00:00+00:00,2026-01-13 15:59:59.999000+00:00,90826.960785,92796.32862500001,0.0001,0.19693678400000064,0.018362328941,0.17857445505900066,1.9660952377533705,reversion:trend+confirmed_rebound,take_profit
ADAUSDT,2026-01-17 00:00:00+00:00,2026-01-17 12:00:00+00:00,0.3957978,0.39450265,13.2,-0.017095979999999567,0.01043196594,-0.02752794593999957,-0.5268979387960134,reversion:trend+confirmed_rebound,strategy_exit_next_open
ETHUSDT,2026-01-19 12:00:00+00:00,2026-01-20 07:59:59.999000+00:00,3225.5219549999997,3161.15863,0.0028,-0.18021730999999944,0.017882705638,-0.19810001563799942,-2.1934436215920847,reversion:range+confirmed_rebound,stop_loss
SOLUSDT,2026-03-27 00:00:00+00:00,2026-03-27 08:00:00+00:00,86.56325999999999,85.87704000000001,0.066,-0.04529051999999851,0.0113810598,-0.05667157979999851,-0.9919454281180925,reversion:range+confirmed_rebound,strategy_exit_next_open
BTCUSDT,2026-04-07 20:00:00+00:00,2026-04-07 23:59:59.999000+00:00,69045.79564499999,70552.74597999999,0.00013,0.19590354355000017,0.018147810411249993,0.17775573313875018,1.98035489431574,reversion:trend+confirmed_rebound,take_profit
