fee_bps_per_side,slippage_bps_per_side,initial_cash,final_equity,net_return_pct,trade_count,win_rate_pct,profit_factor,max_drawdown_pct,average_win,average_loss,expectancy_per_trade,total_fees,min_notional_skips
10,5.0,20.0,22.02073378054898,10.1036689027449,27,48.148148148148145,1.7081120549537723,6.052446851813174,0.37495583733602406,-0.20383515034423833,0.07484199187218427,0.44604229800104994,0
15,7.5,20.0,21.69387115203633,8.46935576018164,27,48.148148148148145,1.572981529041774,6.383144802930746,0.3577008896155594,-0.21116002949756818,0.0627359685939377,0.657380493663675,0
20,10.0,20.0,21.378440337209632,6.8922016860481605,27,48.148148148148145,1.4438386603492914,6.65264237676669,0.3449357109044774,-0.22183742175347068,0.05105334582257838,0.8737078491903999,0
30,15.0,20.0,20.80325207016454,4.016260350822698,27,48.148148148148145,1.2384393180899438,7.3936588523163636,0.32092633882627664,-0.2406278810412179,0.02975007667276094,1.2961410986854502,0
