entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,net_pnl,return_pct,exit_reason,entry_reason
2024-08-20 12:00:00+00:00,2024-08-20 12:00:00+00:00,60549.089414999995,59005.84232,0.00013,-0.20062212234999888,0.01554214112555,-0.2161642634755489,-2.7462048443672566,stop_loss,ema_bullish_cross+trend+confirmations_4
2024-08-21 08:00:00+00:00,2024-08-23 16:00:00+00:00,59741.845994999996,62697.565535,0.00013,0.3842435402000007,0.0159171234989,0.36832641670110067,4.742538636497996,take_profit,ema_bullish_cross+trend+confirmations_3
2024-09-12 04:00:00+00:00,2024-09-17 12:00:00+00:00,58261.846365,61144.342535,0.00013,0.37472450210000074,0.015522804557,0.35920169754300074,4.742537618512369,take_profit,ema_bullish_cross+trend+confirmations_3
2024-10-13 00:00:00+00:00,2024-10-14 20:00:00+00:00,63237.833115,66366.52014000001,0.00012,0.3754424430000008,0.015552522390600003,0.3598899206094008,4.742544967173495,take_profit,ema_bullish_cross+trend+confirmations_3
2024-12-11 16:00:00+00:00,2024-12-16 00:00:00+00:00,100411.82082,105379.69379500001,8e-05,0.39742983800000165,0.016463321169200004,0.3809665168308017,4.742550649411698,take_profit,ema_bullish_cross+trend+confirmations_4
2025-01-03 12:00:00+00:00,2025-01-06 12:00:00+00:00,96805.948785,101595.41688,8e-05,0.3831574476000003,0.0158721092532,0.3672853383468003,4.74254608002601,take_profit,ema_bullish_cross+trend+confirmations_3
2025-01-15 12:00:00+00:00,2025-01-17 00:00:00+00:00,96810.57109499999,101600.264455,8e-05,0.3831754688000004,0.015872866844,0.36730260195600045,4.742542547285038,take_profit,ema_bullish_cross+trend+confirmations_3
2025-02-21 04:00:00+00:00,2025-02-21 16:00:00+00:00,98191.060995,95688.41186000001,8e-05,-0.2002119308,0.015510357828400002,-0.21572228862839998,-2.7462057956500847,stop_loss,ema_bullish_cross+trend+confirmations_3
2025-03-20 00:00:00+00:00,2025-03-20 12:00:00+00:00,86889.35296499998,84674.751445,0.0001,-0.22146015199999822,0.017156410440999997,-0.23861656244099821,-2.746211754357472,stop_loss,ema_bullish_cross+trend+confirmations_3
2025-04-12 08:00:00+00:00,2025-04-21 12:00:00+00:00,83766.78245999999,87911.14244,0.0001,0.41443599800000086,0.01716779249,0.39726820551000086,4.7425506130631545,take_profit,ema_bullish_cross+trend+confirmations_3
2025-06-17 00:00:00+00:00,2025-06-17 12:00:00+00:00,106847.92726499999,104124.63164,8e-05,-0.21786364999999877,0.016877804712400003,-0.23474145471239877,-2.7462097384701982,stop_loss,ema_bullish_cross+trend+confirmations_4
2025-06-25 08:00:00+00:00,2025-07-09 16:00:00+00:00,106653.29999999999,111929.96702000001,8e-05,0.42213336160000187,0.0174866613616,0.4046467002384019,4.742547818942333,take_profit,ema_bullish_cross+trend+confirmations_3
2025-08-08 08:00:00+00:00,2025-08-13 16:00:00+00:00,116875.60859999999,122658.02031,7e-05,0.404768819700001,0.0167673540237,0.388001465676301,4.742544785422418,take_profit,ema_bullish_cross+trend+confirmations_3
2025-09-05 12:00:00+00:00,2025-09-06 16:00:00+00:00,112410.177,110328.96792000001,8e-05,-0.16649672639999888,0.0178191315936,-0.18431585799359887,-2.0495904253580046,strategy_exit_next_open,ema_bullish_cross+trend+confirmations_3
2025-09-07 20:00:00+00:00,2025-09-16 20:00:00+00:00,111315.619995,116822.9593,8e-05,0.44058714440000013,0.018251086343600002,0.4223360580564001,4.742551607709797,take_profit,ema_bullish_cross+trend+confirmations_3
2025-12-03 08:00:00+00:00,2025-12-05 12:00:00+00:00,93046.5,90674.96983500001,9e-05,-0.21343771484999904,0.016534932285150003,-0.22997264713514906,-2.746209298399176,stop_loss,ema_bullish_cross+trend+confirmations_4
2025-12-08 08:00:00+00:00,2025-12-11 12:00:00+00:00,91611.24273,89276.29952000002,9e-05,-0.2101448888999985,0.0162798788025,-0.2264247677024985,-2.7462030611949357,stop_loss,ema_bullish_cross+trend+confirmations_3
2025-12-22 16:00:00+00:00,2025-12-22 20:00:00+00:00,89771.793465,88008.39379,9e-05,-0.1587059707499994,0.01600021685295,-0.1747061876029494,-2.1623494277317916,strategy_exit_next_open,ema_bullish_cross+trend+confirmations_3
2025-12-29 08:00:00+00:00,2025-12-29 12:00:00+00:00,89662.518855,87377.239525,9e-05,-0.20567513970000045,0.0159335782542,-0.22160871795420045,-2.7462078021274485,stop_loss,ema_bullish_cross+trend+confirmations_3
2025-12-31 00:00:00+00:00,2026-01-01 08:00:00+00:00,88529.74274999999,87588.06406,9e-05,-0.08475108209999875,0.0158506026129,-0.10060168471289876,-1.2626225515717837,strategy_exit_next_open,ema_bullish_cross+trend+confirmations_3
2026-03-02 20:00:00+00:00,2026-03-03 08:00:00+00:00,69001.00326,67242.332015,0.00012,-0.21104054939999886,0.016349200233000002,-0.22738974963299885,-2.746213084953035,stop_loss,ema_bullish_cross+trend+confirmations_3
2026-03-10 08:00:00+00:00,2026-03-16 00:00:00+00:00,70441.213005,73926.28836500001,0.00012,0.4182090432000021,0.017324100164400003,0.40088494303560207,4.74254731870232,take_profit,ema_bullish_cross+trend+confirmations_3
2026-03-26 04:00:00+00:00,2026-03-26 08:00:00+00:00,70956.930735,70052.39628,0.00012,-0.1085441346000001,0.016921119241800002,-0.1254652538418001,-1.4734907093427576,strategy_exit_next_open,ema_bullish_cross+trend+confirmations_3
2026-05-01 16:00:00+00:00,2026-05-06 08:00:00+00:00,78485.10294,82368.145325,0.00011,0.42713466235000086,0.01769385730915,0.4094408050408509,4.74254221158445,take_profit,ema_bullish_cross+trend+confirmations_3
2026-05-14 16:00:00+00:00,2026-05-15 12:00:00+00:00,81341.87061,79268.66584000002,0.0001,-0.20732047699999823,0.016061053645000004,-0.22338153064499822,-2.746205969567857,stop_loss,ema_bullish_cross+trend+confirmations_3
2026-06-15 08:00:00+00:00,2026-06-17 16:00:00+00:00,65707.59737999999,64032.86755,0.00013,-0.2177148778999986,0.016866260440899998,-0.2345811383408986,-2.746212564270737,stop_loss,ema_bullish_cross+trend+confirmations_3
2026-07-03 20:00:00+00:00,2026-07-10 08:00:00+00:00,62241.104999999996,64282.052895,0.00013,0.2653232263500006,0.016448010526349997,0.24887521582365063,3.0758206126080267,end_of_data,ema_bullish_cross+trend+confirmations_3
