symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,net_pnl,return_pct,entry_reason,exit_reason
XRPUSDT,2025-01-11 08:00:00+00:00,2025-01-11 19:59:59.999000+00:00,2.34507195,2.46106885,152.1,17.643128490000045,0.73101401568,16.912114474320042,4.741464721370288,ema_bullish_cross+trend+confirmations_3,take_profit
ADAUSDT,2025-01-15 08:00:00+00:00,2025-01-15 11:59:59.999000+00:00,1.0508251499999999,1.02398775,344.9,-9.256219259999927,0.71560296921,-9.971822229209927,-2.7513818926012377,ema_bullish_cross+trend+confirmations_3,stop_loss
BTCUSDT,2025-01-15 12:00:00+00:00,2025-01-17 03:59:59.999000+00:00,96810.57109499999,101600.264455,0.00371,17.76976236560002,0.7361041998905,17.033658165709518,4.742542547285038,ema_bullish_cross+trend+confirmations_3,take_profit
ETHUSDT,2025-01-17 12:00:00+00:00,2025-01-18 07:59:59.999000+00:00,3424.961625,3337.660335,0.1067,-9.315047642999987,0.721571763132,-10.036619406131988,-2.7464223620315713,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-01-19 20:00:00+00:00,2025-01-19 23:59:59.999000+00:00,3420.6394649999997,3333.45244,0.1058,-9.22438724499997,0.714582923549,-9.938970168548972,-2.746302785376995,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-01-20 12:00:00+00:00,2025-01-20 15:59:59.999000+00:00,3377.1077099999998,3291.03366,0.1061,-9.132456704999969,0.707489799357,-9.839946504356968,-2.7462017600261768,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-01-24 20:00:00+00:00,2025-01-25 03:59:59.999000+00:00,3370.38435,3284.47694,0.1053,-9.04605027299998,0.700756893837,-9.746807166836978,-2.7463417129265926,ema_bullish_cross+trend+confirmations_3,stop_loss
XRPUSDT,2025-01-28 16:00:00+00:00,2025-01-28 23:59:59.999000+00:00,3.1873929,3.1061461500000003,110.2,-8.953391849999955,0.6935480033100001,-9.646939853309954,-2.746454290275905,ema_bullish_cross+trend+confirmations_4,stop_loss
LINKUSDT,2025-01-31 12:00:00+00:00,2025-01-31 19:59:59.999000+00:00,25.682835,25.02748,13.54,-8.873506700000002,0.6866176651,-9.560124365100002,-2.7491720248173546,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-01-31 20:00:00+00:00,2025-02-01 11:59:59.999000+00:00,3340.739535,3255.59139,0.1031,-8.778773749500012,0.6800817183675001,-9.458855467867512,-2.7462325321629755,ema_bullish_cross+trend+confirmations_4,stop_loss
BNBUSDT,2025-02-11 12:00:00+00:00,2025-02-11 19:59:59.999000+00:00,643.7216999999999,627.30619,0.53,-8.70022029999996,0.6736447817,-9.373865081699961,-2.747544146795102,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-02-20 16:00:00+00:00,2025-02-21 19:59:59.999000+00:00,2713.9563,2644.77695,0.1245,-8.612829074999986,0.667162289625,-9.279991364624985,-2.746473229874773,ema_bullish_cross+trend+confirmations_4,stop_loss
BNBUSDT,2025-02-22 08:00:00+00:00,2025-02-24 07:59:59.999000+00:00,655.06737,638.370655,0.51,-8.515324649999963,0.6596533927500001,-9.174978042749963,-2.746305776915728,ema_bullish_cross+trend+confirmations_3,stop_loss
LINKUSDT,2025-03-06 12:00:00+00:00,2025-03-06 15:59:59.999000+00:00,17.50875,17.0624645,18.92,-8.44372165999997,0.6540873783400001,-9.09780903833997,-2.7463794645534283,ema_bullish_cross+trend+confirmations_3,stop_loss
