symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,net_pnl,return_pct,entry_reason,exit_reason
XRPUSDT,2025-01-11 08:00:00+00:00,2025-01-11 19:59:59.999000+00:00,2.34507195,2.46106885,1521.9,176.53568211000047,7.31446568352,169.22121642648048,4.741464721370289,ema_bullish_cross+trend+confirmations_3,take_profit
ADAUSDT,2025-01-15 08:00:00+00:00,2025-01-15 11:59:59.999000+00:00,1.0508251499999999,1.02398775,3449.8,-92.58366251999928,7.15768954242,-99.74135206241927,-2.7513818926012372,ema_bullish_cross+trend+confirmations_3,stop_loss
BTCUSDT,2025-01-15 12:00:00+00:00,2025-01-17 03:59:59.999000+00:00,96810.57109499999,101600.264455,0.03714,177.88921139040016,7.368978432326999,170.52023295807317,4.742542547285037,ema_bullish_cross+trend+confirmations_3,take_profit
ETHUSDT,2025-01-17 12:00:00+00:00,2025-01-18 07:59:59.999000+00:00,3424.961625,3337.660335,1.0677,-93.21158733299988,7.220451466692,-100.43203879969188,-2.7464223620315713,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-01-19 20:00:00+00:00,2025-01-19 23:59:59.999000+00:00,3420.6394649999997,3333.45244,1.0586,-92.2961846649997,7.149881690632999,-99.44606635563271,-2.746302785376995,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-01-20 12:00:00+00:00,2025-01-20 15:59:59.999000+00:00,3377.1077099999998,3291.03366,1.0617,-91.3848188849997,7.079565692529,-98.4643845775287,-2.7462017600261768,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-01-24 20:00:00+00:00,2025-01-25 03:59:59.999000+00:00,3370.38435,3284.47694,1.0534,-90.49486569399978,7.010230882886,-97.50509657688579,-2.746341712926593,ema_bullish_cross+trend+confirmations_3,stop_loss
XRPUSDT,2025-01-28 16:00:00+00:00,2025-01-28 23:59:59.999000+00:00,3.1873929,3.1061461500000003,1102.9,-89.60704057499956,6.941144218245,-96.54818479324456,-2.7464542902759055,ema_bullish_cross+trend+confirmations_4,stop_loss
LINKUSDT,2025-01-31 12:00:00+00:00,2025-01-31 19:59:59.999000+00:00,25.682835,25.02748,135.4,-88.73506700000002,6.866176651,-95.60124365100002,-2.749172024817354,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-01-31 20:00:00+00:00,2025-02-01 11:59:59.999000+00:00,3340.739535,3255.59139,1.0318,-87.85585601100013,6.806094248415,-94.66195025941514,-2.7462325321629755,ema_bullish_cross+trend+confirmations_4,stop_loss
BNBUSDT,2025-02-11 12:00:00+00:00,2025-02-11 19:59:59.999000+00:00,643.7216999999999,627.30619,5.299,-86.98578748999962,6.73517678911,-93.72096427910962,-2.7475441467951023,ema_bullish_cross+trend+confirmations_3,stop_loss
ETHUSDT,2025-02-20 16:00:00+00:00,2025-02-21 19:59:59.999000+00:00,2713.9563,2644.77695,1.2452,-86.14212661999986,6.6726946429,-92.81482126289986,-2.7464732298747725,ema_bullish_cross+trend+confirmations_4,stop_loss
BNBUSDT,2025-02-22 08:00:00+00:00,2025-02-24 07:59:59.999000+00:00,655.06737,638.370655,5.108,-85.28682021999961,6.6068814317,-91.89370165169962,-2.7463057769157277,ema_bullish_cross+trend+confirmations_3,stop_loss
LINKUSDT,2025-03-06 12:00:00+00:00,2025-03-06 15:59:59.999000+00:00,17.50875,17.0624645,189.25,-84.45953087499969,6.542602344125001,-91.00213321912469,-2.7463794645534283,ema_bullish_cross+trend+confirmations_3,stop_loss
