symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,net_pnl,return_pct,entry_reason,exit_reason
AVAXUSDT,2026-02-26 08:00:00+00:00,2026-02-26 19:59:59.999000+00:00,9.32466,9.085455,0.76,-0.1817958000000001,0.013991687400000001,-0.1957874874000001,-2.7627293113100118,quality_cross:trend+volume+volatility,stop_loss
BTCUSDT,2026-05-14 16:00:00+00:00,2026-05-15 15:59:59.999000+00:00,81341.87061,79268.66584000002,8e-05,-0.16585638159999858,0.012848842916,-0.17870522451599857,-2.746205969567857,quality_cross:trend+volume+volatility,stop_loss
BNBUSDT,2026-05-22 16:00:00+00:00,2026-05-23 00:00:00+00:00,658.839255,650.1247750000001,0.01,-0.08714479999999868,0.0130896403,-0.10023444029999867,-1.5213792975951117,quality_cross:trend+volume+volatility,strategy_exit_next_open
