candidate,score,train_start,train_end,initial_cash,final_equity,net_return_pct,trade_count,win_rate_pct,profit_factor,max_drawdown_pct,average_win,average_loss,expectancy_per_trade,total_fees,min_notional_skips
baseline,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,20.0,24.123662756039035,20.618313780195187,71,46.478873239436616,1.544406670420469,4.934917575399825,0.35449281024758733,-0.1993315784771401,0.05807975712731068,1.065075875761,0
baseline,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,1000.0,1208.4298116968148,20.842981169681487,71,46.478873239436616,1.5406349022088723,5.111652317862239,17.99871703306945,-10.145469747223078,2.9356311506593635,54.14189292833826,0
baseline,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,10000.0,12079.072510000307,20.790725100003083,71,46.478873239436616,1.5405504288270884,5.252717598639256,179.55413010431727,-101.21615219584619,29.282711408455143,540.1508921832148,0
adaptive,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,20.0,20.581953379591887,2.9097668979594316,42,50.0,1.1700754068815566,4.766474666333477,0.1906519416179507,-0.16293987592309925,0.013856032847425728,0.6236866273581501,30
adaptive,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,1000.0,1013.4109000617239,1.341090006172374,61,47.540983606557376,1.049263656260985,9.039408250954722,9.849584656785323,-8.50709546828283,0.21985082068399556,37.89535071652816,0
adaptive,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,10000.0,10108.01001659425,1.080100165942488,61,47.540983606557376,1.0397587812161835,9.04405131304636,97.4014828994339,-84.8947808590415,1.7706560097418909,376.0190591307133,0
reversion_trend,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,20.0,18.858352667790697,-5.708236661046517,46,41.30434782608695,0.7519398465303069,10.088465174012109,0.18213963274331915,-0.1704555686789769,-0.024818420265419815,0.6372857857593499,57
reversion_trend,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,1000.0,910.0715557006308,-8.99284442993692,62,41.935483870967744,0.7220293543437692,10.7164789387042,8.984204957951743,-8.986604811280976,-1.4504587790220942,33.67314076937151,0
reversion_trend,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,10000.0,9133.723656660877,-8.66276343339123,62,41.935483870967744,0.7302251440388344,10.723312863313861,90.18585364429633,-89.19745939141184,-13.972199086114863,334.9421051366383,0
reversion_range,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,20.0,19.375982624127673,-3.1200868793616388,37,43.24324324324324,0.7894068749506579,4.894112731437623,0.14619530151057272,-0.14110200952578486,-0.01686533448303563,0.5521150832223501,14
reversion_range,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,1000.0,967.6611537107033,-3.233884628929673,46,43.47826086956522,0.8265198159482449,6.630923398061758,7.703674465503751,-7.169705215360444,-0.7030183975934013,30.946697445998304,0
reversion_range,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,10000.0,9676.717693341268,-3.2328230665873203,46,43.47826086956522,0.8266455349552883,6.631636828793475,77.07902858474442,-71.72549532129315,-7.0278762317115975,309.61371144945224,0
reversion_hybrid,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,20.0,18.165768992222958,-9.171155038885214,70,40.0,0.7212197449221578,10.575001321706692,0.16947342107289717,-0.15665444756709915,-0.02620330011110061,1.0043179264771,62
reversion_hybrid,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,1000.0,894.2070517432553,-10.579294825674468,77,41.55844155844156,0.7138270629496274,10.57929482567447,8.246528994983317,-8.215152802138014,-1.3739343929447345,44.38477637379675,0
reversion_hybrid,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,10000.0,8972.029474180905,-10.279705258190951,77,41.55844155844156,0.7203718962438996,10.279705258190951,82.75736002346737,-81.69346770155666,-13.350266569079144,442.522856510466,0
reversion_selective,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,20.0,19.372269083489332,-3.138654582553335,63,47.61904761904761,0.8876434526525796,8.740928105435186,0.16530745239834566,-0.16930165116548554,-0.009963982801756407,0.9302062164107001,56
reversion_selective,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,1000.0,905.2744214893992,-9.472557851060081,51,41.17647058823529,0.6382283637954468,10.396106834660772,7.957736571936205,-8.727934884042023,-1.857364284521577,29.95792497185175,0
reversion_selective,,2023-07-10T08:00:00+00:00,2025-01-10T08:00:00+00:00,10000.0,9084.694740698738,-9.153052593012612,51,41.17647058823529,0.6468754786108275,10.080039174927972,79.84348320992187,-86.40061355698731,-17.947161947083526,297.56635362682306,0
