candidate,initial_cash,final_equity,net_return_pct,trade_count,win_rate_pct,profit_factor,max_drawdown_pct,average_win,average_loss,expectancy_per_trade,total_fees,min_notional_skips,positive_windows_ratio,metrics_passed
baseline,20.0,18.394118558264005,-8.029407208679974,14,14.285714285714285,0.28969809518285305,10.505584232969818,0.32748102715575056,-0.18840362467062446,-0.11470581726685662,0.190806514436,0,0.0,False
baseline,1000.0,918.8190439512524,-8.118095604874764,14,14.285714285714285,0.29485570402851785,10.690340842143648,16.97288632001478,-9.5938940573981,-5.798639717767687,9.741917793848001,0,0.0,False
baseline,10000.0,9187.909511895898,-8.120904881041024,14,14.285714285714285,0.2949574832291025,10.695608446147435,169.87072469227684,-95.985994790721,-58.006463436007,97.47203371650201,0,0.0,False
adaptive,20.0,18.902089327491076,-5.489553362544619,37,43.24324324324324,0.7013269905975179,6.523438179444607,0.16112821623805418,-0.1750458158246564,-0.029673261419159942,0.52732856615895,21,0.16666666666666666,False
adaptive,1000.0,922.323931243239,-7.767606875676092,15,20.0,0.2806535423135304,10.041435215231797,10.101791525086437,-8.998453611001713,-5.178404583784082,8.30644117391165,0,0.0,False
adaptive,10000.0,9222.267553411244,-7.777324465887558,15,20.0,0.28049101812591537,10.05245419309357,101.06288745464438,-90.07675907939073,-51.8488297725837,83.14786009430985,0,0.0,False
reversion_trend,20.0,18.82809932585093,-5.859503370745356,47,42.5531914893617,0.7489020015934104,9.971491573804332,0.1747602063951531,-0.17285573340933838,-0.024934056896788806,0.6565350139491,57,0.3333333333333333,False
reversion_trend,1000.0,906.665256165629,-9.333474383437101,45,37.77777777777778,0.6233695935388435,10.659700564322511,9.08708633325177,-8.850543267844685,-2.07410541854158,24.085609423972002,0,0.0,False
reversion_trend,10000.0,9064.686760841272,-9.353132391587282,45,37.77777777777778,0.6229815310599993,10.677987744446291,90.91189420570463,-88.6005514519895,-20.78473864797171,241.07300732313578,0,0.0,False
reversion_range,20.0,19.096478021856527,-4.517609890717367,24,29.166666666666668,0.5648413649844549,6.578106931857225,0.16754040821057206,-0.12213557856573441,-0.0376467490893117,0.3605567125435,13,0.16666666666666666,False
reversion_range,1000.0,970.1922077362186,-2.9807792263781385,32,34.375,0.7834416070579513,5.927499386746829,9.8032197550755,-6.554438550933861,-0.9314935082431435,21.7092187831817,0,0.3333333333333333,False
reversion_range,10000.0,9682.291055288435,-3.177089447115655,32,34.375,0.7640061473742374,5.62318535275225,93.50458771958847,-64.10759093462113,-9.928404522236583,208.24345603168098,0,0.16666666666666666,False
reversion_hybrid,20.0,18.613651569194946,-6.931742154025267,63,39.682539682539684,0.7613128451965432,10.277034527846375,0.17687501770408257,-0.15284799666860854,-0.02200553064769937,0.9043588255051002,65,0.3333333333333333,False
reversion_hybrid,1000.0,907.965677698475,-9.203432230152497,60,38.333333333333336,0.7081337020888312,10.372885633617665,9.708525986495594,-8.522443783538474,-1.5339053716920827,33.936853322526304,0,0.16666666666666666,False
reversion_hybrid,10000.0,9078.784570234826,-9.212154297651743,60,38.333333333333336,0.7080698709477528,10.380675714495737,97.14726164495035,-85.28655263781162,-15.353590496086202,339.58830761563564,0,0.16666666666666666,False
reversion_selective,20.0,19.11636845165302,-4.4181577417348965,40,40.0,0.7757303645456891,9.483225502154,0.19102558783055676,-0.1641683730681618,-0.022090788708674383,0.579825034547,33,0.3333333333333333,False
reversion_selective,1000.0,908.2526935474232,-9.174730645257679,49,36.734693877551024,0.6470213414267387,10.14288514073438,9.3430995285757,-8.384616063449648,-1.8723940092362565,27.87337575792765,0,0.16666666666666666,False
reversion_selective,10000.0,9081.671675974485,-9.183283240255147,49,36.734693877551024,0.6469026063855575,10.151586905786369,93.46948793939461,-83.89610022369715,-18.74139436786753,278.88340621756987,0,0.16666666666666666,False
